title,url,start,end,place,stream
First Attack PR ,https://www.eventhubs.com/events/2017/sep/01/first-attack-pr/,2017-09-01,2017-09-03,"San Juan, Puerto Rico","esportspr, leveluplive"
Tokyo Tekken Masters,http://tekkenworldtour.com/,2017-09-01,2017-09-02,"Tokyo, Japan",tekken
East Coast Throwdown 2017 ,https://www.eventhubs.com/events/2017/sep/02/east-coast-throwdown-2017/,2017-09-02,2017-09-03,"Fairfield, New Jersey","teamsp00ky, netherrealm, tsb_blaze"
Celtic Throwdown 2017 ,https://www.eventhubs.com/events/2017/sep/02/celtic-throwdown-2017/,2017-09-02,2017-09-03,"Dublin, Ireland","brianvondoom, mscupcakes, grandmasterchallenge"
Dreamolition Derby,http://www.dreamolitionderby.de/,2017-09-02,2017-09-03,"Munich, Germany","tekken, geekygoonsquad, arcadedreamsmunich"
DreamHack Montreal ,https://www.eventhubs.com/events/2017/sep/08/dreamhack-montreal/,2017-09-08,2017-09-10,"Montreal, Quebec",capcomfighters
Manila Cup 2017 ,https://www.eventhubs.com/events/2017/sep/08/manila-cup-2017/,2017-09-08,2017-09-10,"Manila, Philippines","teamsp00ky,playbook_ph"
Thunderstruck V ,https://www.eventhubs.com/events/2017/sep/15/thunderstruck-v/,2017-09-15,2017-09-17,"Monterrey, Nuevo León",capcomfighters
OzHadou Nationals 15 ,https://www.eventhubs.com/events/2017/sep/15/ozhadou-nationals-15/,2017-09-15,2017-09-17,"Sydney, New South Wales",capcomfighters
Brooklyn Beatdown,http://event.eslgaming.com/esloneny/brooklynbeatdown/,2017-09-16,2017-09-17,"Brooklyn, New York",esl_sfv
Street Grand Battle ,https://www.eventhubs.com/events/2017/sep/16/street-grand-battle-cpt/,2017-09-16,2017-09-17,"Lyon, France",capcomfighters
EGX 2017 ,https://www.eventhubs.com/events/2017/sep/21/egx-2017/,2017-09-21,2017-09-24,"Birmingham, England",capcomfighters
SoCal Regionals 2017 ,https://www.eventhubs.com/events/2017/sep/22/socal-regionals-2017/,2017-09-22,2017-09-24,"Anaheim, California",capcomfighters
FV Cup 2017 ,https://www.eventhubs.com/events/2017/sep/23/fv-cup-2017/,2017-09-23,2017-09-24,"Kuala Lumpur, Malaysia",capcomfighters
CEOtaku 2017 ,https://www.eventhubs.com/events/2017/sep/23/ceotaku-2017/,2017-09-23,2017-09-24,"Orlando, Florida",capcomfighters
Never Give Up 2017 ,https://www.eventhubs.com/events/2017/sep/23/never-give-2017/,2017-09-23,2017-09-24,"Santiago, Chile",capcomfighters
The Fall Classic 2017 ,https://www.eventhubs.com/events/2017/sep/29/fall-classic-2017/,2017-09-29,2017-10-01,"Raleigh, North Carolina",capcomfighters
Treta 2017 ,https://www.eventhubs.com/events/2017/sep/30/treta-2017/,2017-09-30,2017-10-01,"Curitiba, Brazil",capcomfighters
Northwest Majors CPT ,https://www.eventhubs.com/events/2017/sep/30/northwest-majors-cpt/,2017-09-30,2017-10-01,"Des Moines, Washington",capcomfighters
Revolution 2017,http://ngi-revolution.co.uk/,2017-10-06,2017-10-08,"London, United Kingdom",nthgenmedia
TWFighter Major ,https://www.eventhubs.com/events/2017/oct/07/twfighter-major/,2017-10-07,2017-10-08,"Taipei, Taiwan",capcomfighters
South East Asia Major 2017 ,https://www.eventhubs.com/events/2017/oct/14/south-east-asia-major-2017/,2017-10-14,2017-10-15,"Suntec City, Singapore",capcomfighters
DreamHack Denver 2017 ,https://www.eventhubs.com/events/2017/oct/20/dreamhack-denver-2017/,2017-10-20,2017-10-22,"Denver, Colorado",capcomfighters
Arc Revolution Cup 2017,http://shoryuken.com/2017/06/18/arc-system-works-announces-the-date-and-games-for-arc-revolution-cup-2017/,2017-10-21,2017-10-21,"Tokyo, Japan",
Canada Cup 2017 ,https://www.eventhubs.com/events/2017/oct/27/canada-cup-2017/,2017-10-27,2017-10-29,"Toronto, Ontario",capcomfighters
NEC 18 ,https://www.eventhubs.com/events/2017/dec/15/nec-18/,2017-12-15,2017-12-17,"King of Prussia, Pennsylvania",capcomfighters
EVO Japan 2018 ,https://www.eventhubs.com/events/2018/jan/26/evo-japan-2018/,2018-01-26,2018-01-28,"Akihabara, Japan",capcomfighters
